Hospital Name,Address 1,City,State,ZIP Code,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia
CHILDREN'S HOSPITAL -SCOTT & WHITE HEALTHCARE,1901 SW H K DODGEN LOOP,TEMPLE,TX,76502,Not Available,14.9,17.4
UNITED REGIONAL HEALTH CARE SYSTEM,1600 11TH STREET,WICHITA FALLS,TX,76301,20.4,17.7,15.5
ST JOSEPH REGIONAL HEALTH CENTER,2801 FRANCISCAN DR,BRYAN,TX,77802,18.9,18.2,13
PARKLAND HEALTH AND HOSPITAL SYSTEM,5201 HARRY HINES BLVD,DALLAS,TX,75235,17,14.7,16.5
UNIVERSITY OF TEXAS MEDICAL BRANCH GAL,301 UNIVERSITY BOULEVARD,GALVESTON,TX,77555,21.6,15.4,15
BAYLOR UNIVERSITY MEDICAL CENTER,3500 GASTON AVE,DALLAS,TX,75246,21.9,13.7,14
CITIZENS MEDICAL CENTER,2701 HOSPITAL DRIVE,VICTORIA,TX,77901,20,11.5,12.6
UNIVERSITY MEDICAL CENTER OF EL PASO,4815 ALAMEDA AVE,EL PASO,TX,79905,22,16.9,17.8
"VHS BROWNSVILLE HOSPITAL COMPANY, LLC",1040 W JEFFERSON ST,BROWNSVILLE,TX,78520,18.7,14.5,13.5
LAREDO MEDICAL CENTER,1700 EAST SAUNDERS,LAREDO,TX,78044,25.9,13.6,12.9
GOOD SHEPHERD MEDICAL CENTER MARSHALL,811 S WASHINGTON,MARSHALL,TX,75670,18.6,13.3,13.2
VHS HARLINGEN HOSPITAL COMPANY LLC,2101 PEASE ST,HARLINGEN,TX,78550,19.6,14.5,10.8
CHRISTUS HOSPITAL,2830 CALDER AVENUE,BEAUMONT,TX,77702,18.2,15.3,14.8
ST JOSEPH MEDICAL CENTER,1401 ST. JOSEPH PARKWAY,HOUSTON,TX,77002,22.2,12.5,18.1
GOOD SHEPHERD MEDICAL CENTER,700 EAST MARSHALL AVENUE,LONGVIEW,TX,75601,19.4,12.6,14.2
JPS HEALTH NETWORK,1500 S MAIN ST,FORT WORTH,TX,76104,24.5,14.5,17.8
COVENANT MEDICAL CENTER,3615 19TH STREET,LUBBOCK,TX,79410,16.4,13,13.7
PROVIDENCE HEALTH CENTER,6901 MEDICAL PARKWAY,WACO,TX,76712,17.2,15,17.1
UT SOUTHWESTERN UNIVERSITY HOSPITAL,5909 HARRY HINES BLVD,DALLAS,TX,75390,18.1,11.4,13.7
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,19.8,11.6,14.3
METHODIST DALLAS MEDICAL CENTER,1441 NORTH BECKLEY AVENUE,DALLAS,TX,75203,19.2,14.2,12.9
GOODALL WITCHER HOSPITAL,101 S AVE T,CLIFTON,TX,76634,Not Available,17.1,14.3
SCOTT & WHITE MEMORIAL HOSPITAL,2401 31ST ST,TEMPLE,TX,76508,16.4,11.7,11.5
ROLLING PLAINS MEMORIAL HOSPITAL,200 E ARIZONA,SWEETWATER,TX,79556,Not Available,15,17.4
SETON MEDICAL CENTER AUSTIN,1201 W 38TH ST,AUSTIN,TX,78705,17.1,13.5,14.2
BAPTIST MEDICAL CENTER,111 DALLAS STREET,SAN ANTONIO,TX,78205,17,10.9,11.5
TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,800 W RANDOL MILL RD,ARLINGTON,TX,76012,19.1,12.8,14
MEMORIAL HERMANN TEXAS MEDICAL CENTER,6411 FANNIN,HOUSTON,TX,77030,21.3,13.6,14.9
BRAZOSPORT REGIONAL HEALTH SYSTEM,100 MEDICAL DRIVE,LAKE JACKSON,TX,77566,17.4,16,17.4
COGDELL MEMORIAL HOSPITAL,1700 COGDELL BLVD,SNYDER,TX,79549,Not Available,17.7,16
ANSON GENERAL HOSPITAL,101 AVENUE J,ANSON,TX,79501,Not Available,16.1,16.7
BAYLOR MEDICAL CENTER AT IRVING,1901 N MACARTHUR BLVD,IRVING,TX,75061,19,14.3,14
TITUS REGIONAL MEDICAL CENTER,2001 N JEFFERSON,MOUNT PLEASANT,TX,75455,21.1,14.1,16.6
CHRISTUS SPOHN HOSPITAL BEEVILLE,1500 E HOUSTON HWY,BEEVILLE,TX,78102,Not Available,14.7,15
EAST TEXAS MEDICAL CENTER,1000 SOUTH BECKHAM STREET,TYLER,TX,75701,18.2,12.7,14
GRAHAM REGIONAL MEDICAL CENTER,1301 MONTGOMERY ROAD,GRAHAM,TX,76450,Not Available,15.2,12.6
NORTH HILLS HOSPITAL,4401 BOOTH CALLOWAY ROAD,NORTH RICHLAND HILLS,TX,76180,20.3,13.2,12.2
NORTH TEXAS MEDICAL CENTER,1900 HOSPITAL BLVD,GAINESVILLE,TX,76240,19.9,15.5,17.5
FORT DUNCAN MEDICAL CENTER,3333 N FOSTER MALDONADO BLVD,EAGLE PASS,TX,78852,19.1,10.6,12.5
BAYSHORE MEDICAL CENTER,4000 SPENCER HWY,PASADENA,TX,77504,22.7,14,15
PAMPA REGIONAL MEDICAL CENTER,1 MEDICAL PLAZA,PAMPA,TX,79065,Not Available,13.1,15.4
HILLCREST BAPTIST MEDICAL CENTER,100 HILLCREST MEDICAL BLVD,WACO,TX,76712,20.1,16.3,15
MOTHER FRANCES HOSPITAL,800 EAST DAWSON,TYLER,TX,75701,16.9,14.5,12.8
GUADALUPE REGIONAL MEDICAL CENTER,1215 E COURT ST,SEGUIN,TX,78155,19,15.2,15.7
LAS PALMAS MEDICAL CENTER,1801 NORTH OREGON STREET,EL PASO,TX,79902,19.6,15.7,13.9
CONNALLY MEMORIAL MEDICAL CENTER,499 10TH STREET,FLORESVILLE,TX,78114,18.6,15.9,15.5
SOUTH TEXAS HEALTH SYSTEM,1102 W TRENTON ROAD,EDINBURG,TX,78539,18.5,11.6,13
RENAISSANCE HOSPITAL GROVES,5500 39TH ST,GROVES,TX,77619,Not Available,16.4,16.8
UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE,601 E 15TH STREET,AUSTIN,TX,78701,21.2,15.4,15.8
KNAPP MEDICAL CENTER,1401 EAST EIGHT STREET,WESLACO,TX,78596,21,14.3,14.4
NIX HEALTH CARE SYSTEM,"414 NAVARRO, SUITE 600",SAN ANTONIO,TX,78205,17.8,13.2,13.4
MEDICAL CENTER HOSPITAL,500 W 4TH STREET,ODESSA,TX,79761,18.8,17.5,20.6
MIDLAND MEMORIAL HOSPITAL,2200 WEST ILLINOIS AVE,MIDLAND,TX,79701,20.7,15.4,17.9
TEXAS HEALTH HARRIS METHODIST FORT WORTH,1301 PENNSYLVANIA AVENUE,FORT WORTH,TX,76104,17.5,13.5,14.6
BAYLOR ALL SAINTS MEDICAL CENTER AT FW,1400 EIGHTH AVE,FORT WORTH,TX,76104,19.1,11.1,14.3
SETON SMITHVILLE REGIONAL HOSPITAL,800 EAST HIGHWAY 71,SMITHVILLE,TX,78957,Not Available,15.2,12.5
PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,ANDREWS,TX,79714,Not Available,15.6,17.1
DETAR HOSPITAL NAVARRO,506 E SAN ANTONIO ST,VICTORIA,TX,77902,19.8,11.2,13.1
TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,201 WALLS DRIVE,CLEBURNE,TX,76033,19.7,15.4,15
METROPLEX HOSPITAL,2201 S CLEAR CREEK ROAD,KILLEEN,TX,76542,18.1,15.1,16.2
VAL VERDE REGIONAL MEDICAL CENTER,801 BEDELL AVE,DEL RIO,TX,78840,20.3,14.6,18
HEREFORD REGIONAL MEDICAL CENTER,801 EAST THIRD,HEREFORD,TX,79045,Not Available,17,18.4
GRACE MEDICAL CENTER,2412 50TH ST,LUBBOCK,TX,79412,Not Available,14.4,14.1
CHRISTUS SPOHN HOSPITAL KLEBERG,1311 EAST GENERAL CAVAZOS BLVD,KINGSVILLE,TX,78363,Not Available,14.7,15.5
SOUTH TEXAS REGIONAL MEDICAL CENTER,1905 HWY 97 EAST,JOURDANTON,TX,78026,17.9,15,14
MISSION REGIONAL MEDICAL CENTER,900 SOUTH BRYAN ROAD,MISSION,TX,78572,16.7,11.1,12.3
UVALDE MEMORIAL HOSPITAL,1025 GARNER FIELD ROAD,UVALDE,TX,78801,18.8,14.9,16.9
PECOS COUNTY MEMORIAL HOSPITAL,387 WEST I 10,FORT STOCKTON,TX,79735,Not Available,14,20.5
MEMORIAL HERMANN HOSPITAL SYSTEM,1635  NORTH LOOP WEST,HOUSTON,TX,77008,18.1,11.1,12.5
TRINITY MEDICAL CENTER,700 MEDICAL PARKWAY,BRENHAM,TX,77833,22.5,14.6,21.6
ETMC CLARKSVILLE,3000 W MAIN ST,CLARKSVILLE,TX,75426,Not Available,14.7,15.4
HILL REGIONAL HOSPITAL,101 CIRCLE DRIVE,HILLSBORO,TX,76645,18.1,16.5,17.2
ST LUKES EPISCOPAL HOSPITAL,6720 BERTNER,HOUSTON,TX,77030,17.3,12.1,12.1
EAST TEXAS MEDICAL CENTER JACKSONVILLE,501 S RAGSDALE,JACKSONVILLE,TX,75766,21.9,13.6,16.1
PARIS REGIONAL MEDICAL CENTER,820 CLARKSVILLE ST,PARIS,TX,75460,19.9,14,17.7
WADLEY REGIONAL MEDICAL CENTER,1000 PINE STREET,TEXARKANA,TX,75501,24.3,13.5,15.2
WEATHERFORD REGIONAL MEDICAL CENTER,713 E ANDERSON ST,WEATHERFORD,TX,76086,20.9,13.5,16.1
NORTHWEST TEXAS HOSPITAL,1501 COULTER ROAD,AMARILLO,TX,79106,21.5,15.6,18.6
ETMC CARTHAGE,409 WEST COTTAGE,CARTHAGE,TX,75633,19.6,20.9,16.2
MEMORIAL HEALTH SYSTEM OF EAST TEXAS- LUFKIN,1201 WEST FRANK STREET,LUFKIN,TX,75901,17.8,15.1,18.5
UNIVERSITY HEALTH SYSTEM,4502 MEDICAL DR,SAN ANTONIO,TX,78229,20.9,14.7,16.8
GULF COAST MEDICAL CENTER,10141 US 59 NORTH,WHARTON,TX,77488,Not Available,13,12.2
SCOTT & WHITE HOSPITAL-LLANO,200 W OLLIE,LLANO,TX,78643,Not Available,16.3,14.6
MOORE COUNTY HOSPITAL DISTRICT,224 E SECOND STREET,DUMAS,TX,79029,Not Available,13.5,16.3
CONROE REGIONAL MEDICAL CENTER,504 MEDICAL CENTER BLVD,CONROE,TX,77304,20.8,13.9,15.4
HENDRICK MEDICAL CENTER,1900 PINE,ABILENE,TX,79601,18.6,15.9,14.5
BAPTIST ST ANTHONYS HEALTH SYSTEM-BAPTIST CAMPUS,1600 WALLACE BLVD,AMARILLO,TX,79106,16.1,15.1,14.2
COMANCHE COUNTY MEDICAL CENTER,10201 HWY 16,COMANCHE,TX,76442,20.6,15.5,13.9
MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,GONZALES,TX,78629,Not Available,15.1,13.6
HOPKINS COUNTY MEMORIAL HOSPITAL,115 AIRPORT RD,SULPHUR SPRINGS,TX,75482,19,19.3,17.4
CHRISTUS SANTA ROSA HOSPITAL,333 N SANTA ROSA STREET,SAN ANTONIO,TX,78207,16.6,14.9,15.1
FAITH COMMUNITY HOSPITAL,717 MAGNOLIA ST,JACKSBORO,TX,76458,Not Available,14.4,15
HAMLIN MEMORIAL HOSPITAL,632 N W SECOND STREET,HAMLIN,TX,79520,Not Available,15.4,Not Available
BELLVILLE GENERAL HOSPITAL,44 N CUMMINGS,BELLVILLE,TX,77418,Not Available,19.2,19.5
LAKE WHITNEY MEDICAL CENTER,200 N SAN JACINTO STREET,WHITNEY,TX,76692,Not Available,Not Available,Not Available
WISE REGIONAL HEALTH SYSTEM,609 MEDICAL CENTER DRIVE,DECATUR,TX,76234,21.1,16.5,19.6
CENTRAL TEXAS MEDICAL CENTER,1301 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,19,17.8,12.3
BAYLOR MEDICAL CENTER AT GARLAND,2300 MARIE CURIE DRIVE,GARLAND,TX,75042,18.6,13.9,12.7
COZBY-GERMANY HOSPITAL,707 N WALDRIP,GRAND SALINE,TX,75140,Not Available,15.6,17.5
HARRIS COUNTY HOSPITAL DISTRICT,2525 HOLLY HALL,HOUSTON,TX,77054,19.1,14.1,17.2
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,850 ED HALL,KAUFMAN,TX,75142,21.8,18.4,19.1
FRIO REGIONAL HOSPITAL,200 S IH 35,PEARSALL,TX,78061,Not Available,15,18.5
CLEVELAND REGIONAL MEDICAL CTR,300 E CROCKETT,CLEVELAND,TX,77327,20.1,12.4,13.7
COLLEGE STATION MEDICAL CENTER,1604 ROCK PRAIRIE ROAD,COLLEGE STATION,TX,77842,21,14.8,17.7
STAMFORD MEMORIAL HOSPITAL,1601 COLUMBIA STREET,STAMFORD,TX,79553,Not Available,19.8,16
TEXOMA MEDICAL CENTER,5016 S US HIGHWAY 75,DENISON,TX,75020,22.6,14.4,17.1
OAKBEND MEDICAL CENTER,1705 JACKSON ST,RICHMOND,TX,77469,20.4,16,16.4
SAN ANGELO COMMUNITY MEDICAL CENTER,3501 KNICKERBOCKER ROAD,SAN ANGELO,TX,76904,20.5,13.6,14.7
MEMORIAL HERMANN BAPTIST BEAUMONT HOSPITAL,3080 COLLEGE STREET,BEAUMONT,TX,77701,20.1,14.2,19.2
HUNTSVILLE MEMORIAL HOSPITAL,110 MEMORIAL HOSPITAL DRIVE,HUNTSVILLE,TX,77340,Not Available,17.5,12.7
FALLS COMMUNITY HOSPITAL AND CLINIC,322 COLEMAN STREET,MARLIN,TX,76661,Not Available,15.3,12.3
TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL,411 N BELKNAP ST,STEPHENVILLE,TX,76401,19.3,16.3,14.3
HUNT REGIONAL MEDICAL CENTER,4215 JOE RAMSEY BLVD,GREENVILLE,TX,75401,20.6,16.9,13.2
"METHODIST HOSPITAL,THE",6565 FANNIN,HOUSTON,TX,77030,15.3,10.2,10.1
CHILDRESS REGIONAL MEDICAL CENTER,HWY 83 NORTH,CHILDRESS,TX,79201,Not Available,17,15.2
COLUMBUS COMMUNITY HOSPITAL,110 SHULT DR,COLUMBUS,TX,78934,Not Available,16.9,13.8
BAYLOR MEDICAL CENTER AT WAXAHACHIE,1405 W JEFFERSON ST,WAXAHACHIE,TX,75165,19.7,17.5,17
EAST TEXAS MEDICAL CENTER MOUNT VERNON,500 S STATE HWY 37,MOUNT VERNON,TX,75457,Not Available,18.6,14.7
DALLAS MEDICAL CENTER,7 MEDICAL PARKWAY,DALLAS,TX,75234,19.8,14.1,14.3
METHODIST HOSPITAL,7700 FLOYD CURL DR,SAN ANTONIO,TX,78229,18.3,12,12.8
EAST TEXAS MEDICAL CENTER ATHENS,2000 SOUTH PALESTINE,ATHENS,TX,75751,20.4,13.2,12.6
MEMORIAL MEDICAL CENTER LIVINGSTON,1717 HWY 59 BYPASS,LIVINGSTON,TX,77351,Not Available,14.9,15.7
BROWNFIELD REGIONAL MEDICAL CENTER,705 EAST FELT STREET,BROWNFIELD,TX,79316,Not Available,17.4,18.2
PARKVIEW REGIONAL HOSPITAL,600 SOUTH BONHAM STREET,MEXIA,TX,76667,18.5,15.4,12.3
MEDICAL CENTER OF MCKINNEY,4500 MEDICAL CENTER DRIVE,MCKINNEY,TX,75069,18.5,14.1,18.6
EASTLAND MEMORIAL HOSPITAL,304 S DAUGHERTY,EASTLAND,TX,76448,Not Available,17,14.4
TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE,108 DENVER TRAIL,AZLE,TX,76020,Not Available,16,14.4
BAYLOR MEDICAL CENTER AT UPTOWN,2727 EAST LEMMON AVENUE BUILDING I,DALLAS,TX,75204,Not Available,Not Available,Not Available
SAN JACINTO METHODIST HOSPITAL,4401 GARTH ROAD,BAYTOWN,TX,77521,16.5,12.3,13.7
ST DAVIDS MEDICAL CENTER,919 E 32ND ST,AUSTIN,TX,78705,19.8,14.3,14.5
COLORADO FAYETTE MEDICAL CENTER,400 YOUENS DRIVE,WEIMAR,TX,78962,Not Available,13,16.5
RIVERSIDE GENERAL HOSPITAL,3204 ENNIS ST,HOUSTON,TX,77004,Not Available,Not Available,Not Available
NAVARRO REGIONAL HOSPITAL,3201 WEST HIGHWAY 22,CORSICANA,TX,75110,22.8,15.8,16.3
GLEN ROSE MEDICAL CENTER,1021 HOLDEN STREET,GLEN ROSE,TX,76043,Not Available,17.4,14.4
TYLER COUNTY HOSPITAL,1100 WEST BLUFF,WOODVILLE,TX,75979,Not Available,15.9,15.8
TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS,8200 WALNUT HILL LANE,DALLAS,TX,75231,20.8,12.9,14.1
MATAGORDA REGIONAL MEDICAL CENTER,104 7TH STREET,BAY CITY,TX,77414,21.2,14.6,19.4
TEXAS HEALTH PRESBYTERIAN HOSPITAL-WNJ,500 N HIGHLAND AVENUE,SHERMAN,TX,75091,20,12.5,15.3
ETMC HENDERSON,300 WILSON STREET,HENDERSON,TX,75652,19.6,13.9,16.3
WOODLAND HEIGHTS MEDICAL CENTER,505 SOUTH JOHN REDDITT DRIVE,LUFKIN,TX,75904,21.2,15.9,17.9
ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE,1612 SOUTH HENDERSON BLVD,KILGORE,TX,75662,Not Available,Not Available,Not Available
MEDICAL ARTS HOSPITAL,2200 N BRYAN AVE,LAMESA,TX,79331,Not Available,15.9,17.8
BOWIE MEMORIAL HOSPITAL,705 EAST GREENWOOD AV,BOWIE,TX,76230,Not Available,17.4,13.8
STEPHENS MEMORIAL HOSPITAL,200 SOUTH GENEVA,BRECKENRIDGE,TX,76424,Not Available,15.4,20.3
MEMORIAL HOSPITAL,1204 MOUND ST,NACOGDOCHES,TX,75961,20.8,16.5,14
THE MEDICAL CENTER OF SOUTHEAST TEXAS,2555 JIMMY JOHNSON BLVD,PORT ARTHUR,TX,77640,20.9,16,14.1
METHODIST RICHARDSON MEDICAL CENTER,401 W CAMPBELL RD,RICHARDSON,TX,75080,20.9,15.2,16.4
COVENANT HOSPITAL PLAINVIEW,2601 DIMMITT RD,PLAINVIEW,TX,79072,Not Available,17.9,18.6
ABILENE REGIONAL MEDICAL CENTER,6250 HWY 83/84,ABILENE,TX,79606,21.3,17.3,18.7
BAYLOR REGIONAL MEDICAL CENTER AT GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,19.8,13.3,12.6
PALO PINTO GENERAL HOSPITAL,400 SOUTHWEST 25 AVE,MINERAL WELLS,TX,76067,Not Available,16.4,15.9
SHANNON MEDICAL CENTER,120 EAST HARRIS AVENUE,SAN ANGELO,TX,76903,17.5,15,12.8
CHRISTUS JASPER MEMORIAL HOSPITAL,1275 MARVIN HANCOCK DRIVE,JASPER,TX,75951,Not Available,17.2,15.5
HEMPHILL COUNTY HOSPITAL,1020 S 4TH ST,CANADIAN,TX,79014,Not Available,Not Available,16
EAST TEXAS MEDICAL CENTER CROCKETT,1100 LOOP 304 EAST,CROCKETT,TX,75835,21.2,16.4,16
WILBARGER GENERAL HOSPITAL,920 HILLCREST DR,VERNON,TX,76384,Not Available,16.1,17.6
BROWNWOOD REGIONAL MEDICAL CENTER,1501 BURNET DR,BROWNWOOD,TX,76801,19.3,15.4,16.1
LAKE GRANBURY MEDICAL CENTER,1310 PALUXY RD,GRANBURY,TX,76048,21.4,20.1,19.2
CUERO COMMUNITY HOSPITAL,2550 N ESPLANADE,CUERO,TX,77954,22.1,18,17
HILL COUNTRY MEMORIAL HOSPITAL INC,1020 SOUTH STATE HIGHWAY 16,FREDERICKSBURG,TX,78624,20,17.8,14
VA AMARILLO HEALTHCARE SYSTEM,6010 AMARILLO BLVD. WEST,AMARILLO                      ,TX,79106,20.4,15.2,16.8
MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,921 GESSNER,HOUSTON,TX,77024,20.5,12.7,11.7
ATLANTA MEMORIAL HOSPITAL,1007 SOUTH WILLIAMS STREET,ATLANTA,TX,75551,20.5,15.5,14.2
CLEAR LAKE REGIONAL MEDICAL CENTER,500 MEDICAL CENTER BLVD,WEBSTER,TX,77598,16.9,11.1,13.9
SPRING BRANCH MEDICAL CENTER,8850 LONG POINT ROAD,HOUSTON,TX,77055,20.7,15.5,13.8
DENTON REGIONAL MEDICAL CENTER,3535 SOUTH I35 EAST,DENTON,TX,76210,23,12.8,12.9
HOUSTON NORTHWEST MEDICAL CENTER,710 FM 1960 WEST,HOUSTON,TX,77090,15.7,12.7,13.6
TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD,1600 HOSPITAL PARKWAY,BEDFORD,TX,76022,19.9,15.3,14.4
DOCTORS HOSPITAL OF LAREDO,10700 MCPHERSON ROAD,LAREDO,TX,78041,22.3,12.6,13.7
WEST HOUSTON MEDICAL CENTER,12141 RICHMOND AVE,HOUSTON,TX,77082,20.2,13.4,13.9
MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LANE,DALLAS,TX,75230,19.6,15.7,12.3
MEDICAL CENTER OF PLANO,3901 W 15TH ST,PLANO,TX,75075,19.4,15,16.9
SCENIC MOUNTAIN MEDICAL CENTER,1601 W 11TH PLACE,BIG SPRING,TX,79720,22.5,20,17.7
STARR COUNTY MEMORIAL HOSPITAL,128  N FM RD 3167,RIO GRANDE CITY,TX,78582,19.3,13.7,14.5
NACOGDOCHES MEDICAL CENTER,4920 NE STALLINGS DRIVE,NACOGDOCHES,TX,75961,21.3,18.9,15.5
PARK PLAZA HOSPITAL,1313 HERMANN DR,HOUSTON,TX,77004,18,12.8,12.2
ODESSA REGIONAL HOSPITAL,520 E 6TH STREET,ODESSA,TX,79761,23.3,17.4,18.6
VALLEY REGIONAL MEDICAL CENTER,100 A ALTON GLOOR,BROWNSVILLE,TX,78526,20.8,11.7,13.4
SIERRA MEDICAL CENTER,1625 MEDICAL CENTER DR,EL PASO,TX,79902,20.7,16.3,14.7
MEDICAL CENTER OF LEWISVILLE,500 WEST MAIN STREET,LEWISVILLE,TX,75057,21,14,15.1
DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM),4500 S. LANCASTER ROAD,DALLAS                        ,TX,75216,16.8,13.3,15.8
TOMBALL REGIONAL MEDICAL CENTER,605 HOLDERRIETH,TOMBALL,TX,77375,19,10.3,10.6
PLAZA MEDICAL CENTER OF FORT WORTH,900 EIGHTH AVENUE,FORT WORTH,TX,76104,21.1,14.5,13.4
MEDICAL CENTER OF ARLINGTON,3301 MATLOCK ROAD,ARLINGTON,TX,76015,21.5,14.4,14.8
HUGULEY HEALTH SYSTEM,11801 SOUTH FREEWAY,FORT WORTH,TX,76115,17.6,14,13.1
DOCTORS HOSPITAL,9440 POPPY DR,DALLAS,TX,75218,18.4,13.3,13.6
RENAISSANCE HOSPITAL TERRELL,1551 HWY 34 S,TERRELL,TX,75160,19.7,14.4,20
MEMORIAL HERMANN NORTHEAST,18951 MEMORIAL NORTH,HUMBLE,TX,77338,20.4,14.9,14.7
UNIVERSITY MEDICAL CENTER,602 INDIANA AVENUE,LUBBOCK,TX,79415,22.7,12.9,12.1
DALLAS REGIONAL MEDICAL CENTER,1011 NORTH GALLOWAY AVENUE,MESQUITE,TX,75149,22.8,12.2,17.4
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER,11937 US HIGHWAY 271,TYLER,TX,75708,20.2,12.9,10.1
EL CAMPO MEMORIAL HOSPITAL,303 SANDY CORNER RD,EL CAMPO,TX,77437,20.4,13.4,13.2
SOUTHWEST GENERAL HOSPITAL,7400 BARLITE BLVD,SAN ANTONIO,TX,78224,19.8,12.8,14.2
LAMB HEALTHCARE CENTER,1500 S SUNSET,LITTLEFIELD,TX,79339,Not Available,15,17.8
LONGVIEW REGIONAL MEDICAL CENTER,2901 N FOURTH ST,LONGVIEW,TX,75605,20.4,15.5,14.3
CHRISTUS ST JOHN HOSPITAL,18300 ST JOHN DRIVE,NASSAU BAY,TX,77058,19.8,14.1,18.6
RIO GRANDE REGIONAL HOSPITAL,101 E RIDGE RD,MCALLEN,TX,78503,17.6,11.2,12.9
ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,901 WEST BEN WHITE BLVD,AUSTIN,TX,78704,18,14.9,18.1
CYPRESS FAIRBANKS MEDICAL CENTER,10655 STEEPLETOP DRIVE,HOUSTON,TX,77065,15.5,11.8,14.4
ROUND ROCK MEDICAL CENTER,2400 ROUND ROCK AVE,ROUND ROCK,TX,78681,20.1,13.6,15.1
METHODIST CHARLTON MEDICAL CENTER,3500 W WHEATLAND ROAD,DALLAS,TX,75237,21.5,14.5,15.8
BAYLOR MEDICAL CENTER AT CARROLLTON,4343 NORTH JOSEY LANE,CARROLLTON,TX,75010,19.1,16.4,14.6
LAKE POINTE MEDICAL CENTER,6800 SCENIC DR,ROWLETT,TX,75088,20.9,18.2,20
TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,3000 N I-35,DENTON,TX,76201,19.6,13.7,13.9
PALESTINE REGIONAL MEDICAL CENTER,2900 S LOOP 256,PALESTINE,TX,75801,21.2,15.9,16.1
HOUSTON VA MEDICAL CENTER,2002 HOLCOMBE BLVD.,HOUSTON                       ,TX,77030,17.4,12,17.1
HAMILTON GENERAL HOSPITAL,400 N BROWN,HAMILTON,TX,76531,20.2,12.2,13
TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,6200 W PARKER RD,PLANO,TX,75093,18.3,14.3,12.7
KINGWOOD MEDICAL CENTER,22999 US HWY 59,KINGWOOD,TX,77325,19.5,13.3,15.8
TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,6100 HARRIS PKWY,FORT WORTH,TX,76132,18.8,12.9,14
"CORPUS CHRISTI MEDICAL CENTER,THE",7101 S PADRE ISLAND DR,CORPUS CHRISTI,TX,78412,19.6,12.7,14.1
ST ANTHONY'S HOSPITAL,2807 LITTLE YORK RD,HOUSTON,TX,77093,Not Available,Not Available,Not Available
NORTHWEST TEXAS SURGERY CENTER,3501 SONCY RD SUITE 118,AMARILLO,TX,79109,Not Available,Not Available,Not Available
HOUSTON HOSPITAL FOR SPECIALIZED SURGERY,5445 LABRANCH STREET,HOUSTON,TX,77004,Not Available,Not Available,Not Available
CHRISTUS ST MICHAEL HEALTH SYSTEM,2600 ST MICHAEL DR,TEXARKANA,TX,75504,20.9,12.6,11.6
DOCTORS HOSPITAL TIDWELL,510 W TIDWELL,HOUSTON,TX,77091,19.5,14.8,12.8
TEXAS ORTHOPEDIC HOSPITAL,7401 SOUTH MAIN STREET,HOUSTON,TX,77030,Not Available,Not Available,Not Available
NORTHWEST HILLS SURGICAL HOSPITAL,6818 AUSTIN CTR BLVD SUITE 100,AUSTIN,TX,78731,Not Available,Not Available,Not Available
NORTH AUSTIN MEDICAL CENTER,12221 MOPAC EXPRESSWAY NORTH,AUSTIN,TX,78758,19.3,14.2,13.4
COMMUNITY GENERAL HOSPITAL,230 WEST MILLER,DILLEY,TX,78017,Not Available,17,Not Available
METHODIST SUGAR LAND HOSPITAL,16655 SOUTHWEST FREEWAY,SUGAR LAND,TX,77479,18.3,12.1,11.3
LAS COLINAS MEDICAL CENTER,6800 N MACARTHUR BLVD,IRVING,TX,75039,22.2,16.3,16.7
KELL WEST REGIONAL HOSPITAL,5402 KELL WEST BOULEVARD,WICHITA FALLS,TX,76310,Not Available,19,14.2
CHRISTUS SPOHN HOSPITAL ALICE,2500 E MAIN STREET,ALICE,TX,78332,20,12.4,14.8
